total_xz,河北,山西,辽宁,吉林,黑龙江,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,海南,四川,贵州,云南,陕西,甘肃,青海,内蒙古,广西,西藏,宁夏,新疆,北京,天津,上海,重庆,date
120.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,1.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,1.0,15.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,2022-07-27
148.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,3.0,0.0,1.0,0.0,25.0,0.0,22.0,0.0,0.0,1.0,37.0,0.0,0.0,32.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,2022-07-26
150.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,3.0,2.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,1.0,24.0,0.0,0.0,22.0,0.0,0.0,0.0,5.0,2.0,10.0,0.0,2022-07-25
129.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,24.0,0.0,20.0,0.0,2.0,1.0,26.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,2.0,10.0,3.0,2022-07-24
164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,2.0,1.0,1.0,0.0,0.0,31.0,0.0,15.0,0.0,1.0,1.0,42.0,0.0,1.0,35.0,0.0,0.0,0.0,2.0,5.0,6.0,5.0,2022-07-23
175.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,14.0,0.0,0.0,0.0,52.0,0.0,2.0,22.0,0.0,0.0,0.0,3.0,2.0,12.0,5.0,2022-07-22
200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,12.0,6.0,1.0,0.0,0.0,0.0,29.0,0.0,20.0,0.0,6.0,1.0,49.0,0.0,6.0,54.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,2022-07-21
150.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,37.0,0.0,9.0,0.0,0.0,1.0,47.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0,5.0,7.0,1.0,2022-07-20
237.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,4.0,0.0,1.0,1.0,0.0,14.0,0.0,12.0,0.0,4.0,0.0,32.0,0.0,2.0,135.0,0.0,0.0,0.0,4.0,8.0,8.0,1.0,2022-07-19
167.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,0.0,1.0,31.0,1.0,14.0,0.0,0.0,0.0,29.0,0.0,3.0,59.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,2022-07-18
154.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,5.0,10.0,2.0,2.0,0.0,1.0,1.0,31.0,4.0,10.0,1.0,2.0,0.0,53.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,4.0,8.0,3.0,2022-07-17
129.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,16.0,7.0,0.0,0.0,1.0,1.0,2.0,25.0,5.0,1.0,0.0,1.0,0.0,31.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,11.0,0.0,2022-07-16
113.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,13.0,2.0,2.0,1.0,0.0,0.0,28.0,7.0,3.0,0.0,3.0,0.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,3.0,2022-07-15
121.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,44.0,3.0,3.0,0.0,2.0,1.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,2022-07-14
98.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,8.0,1.0,6.0,3.0,0.0,3.0,25.0,3.0,1.0,0.0,2.0,1.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,2022-07-13
107.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,6.0,2.0,9.0,9.0,0.0,0.0,33.0,9.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,1.0,2022-07-12
94.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,9.0,10.0,0.0,2.0,0.0,0.0,0.0,27.0,2.0,7.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,0.0,2022-07-11
101.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,12.0,8.0,4.0,10.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,3.0,2022-07-10
112.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,25.0,9.0,3.0,1.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,3.0,19.0,2.0,2022-07-09
97.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,17.0,17.0,0.0,2.0,0.0,0.0,1.0,19.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,1.0,2022-07-08
124.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,39.0,9.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,43.0,0.0,2022-07-07
141.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,81.0,11.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,15.0,2.0,2022-07-06
112.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,52.0,8.0,1.0,3.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,3.0,2022-07-05
72.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,29.0,6.0,1.0,4.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,2022-07-04
104.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,61.0,8.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,2022-07-03
72.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,34.0,7.0,1.0,5.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2022-07-02
37.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2022-07-01
33.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,2022-06-30
